gene_id,gene_short_name,cluster,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000211679,IGLC3,B,0.1742500801618652,0.48026884138037135,0.19657142857142856,0.8864466287304189,0.1056899220506447,9.990551944559352e-51,3.6695397197885943e-45
ENSG00000100138,SNU13,B,0.1393703699294074,1.1110795854923765,0.6937142857142857,0.20090456950285251,0.08383510835445798,1.6070980526358547e-40,5.902887218312021e-35
ENSG00000159958,TNFRSF13C,B,0.3287291359269414,0.575881391462719,0.4594285714285714,0.7155173978509297,0.27704468089740075,4.420205580075141e-132,1.6235459297671794e-126
ENSG00000188290,HES4,CD16+ Monocytes,0.33774825294995037,1.28046638217297,0.6498740554156172,0.5197133969811252,0.34943931401372186,6.181050704052685e-113,2.270306104649255e-107
ENSG00000173372,C1QA,CD16+ Monocytes,0.22022531394494896,0.6103458560448985,0.26448362720403024,0.8326614251061403,0.16700146893130136,2.564927702560189e-54,9.4210051007806e-49
ENSG00000174021,GNG5,CD16+ Monocytes,0.24556584147591876,2.3112347123037082,0.8841309823677582,0.2777482594471218,0.3113300109262087,1.3950031997223467e-100,5.1238607026121763e-95
ENSG00000155366,RHOC,CD16+ Monocytes,0.3164808821813494,1.8923977825233536,0.8211586901763224,0.38540770007974146,0.3950269894366124,8.585494901790116e-128,3.1534608629224115e-122
ENSG00000163131,CTSS,CD16+ Monocytes,0.28667789791687853,4.54399850167196,0.9546599496221663,0.3002932070527725,0.4172233315109752,4.6549509602766473e-135,1.709768142660573e-129
ENSG00000163191,S100A11,CD16+ Monocytes,0.3934759212884737,6.414822538502579,0.9722921914357683,0.40468896567752344,0.5721947007414259,2.1794408361595225e-186,8.005107985622288e-181
ENSG00000197956,S100A6,CD16+ Monocytes,0.28154453728162054,20.109157260392593,1,0.28154453728162054,0.4765927276385736,1.3459506736340826e-154,4.943690283764722e-149
ENSG00000196154,S100A4,CD16+ Monocytes,0.2938145988167005,17.52084295450717,0.9974811083123426,0.2945565548743184,0.5396577158926207,1.5993073471111238e-175,5.8742718790126286e-170
ENSG00000158869,FCER1G,CD16+ Monocytes,0.3195181551532022,5.283009012494977,0.9672544080604534,0.33033517603078455,0.4529498466552902,8.481276219158978e-147,3.1151812365733115e-141
ENSG00000203747,FCGR3A,CD16+ Monocytes,0.3103453109927273,1.383290490491934,0.7329974811083123,0.42339205657770695,0.3376076153210701,4.2938491365912935e-109,1.5771350817191188e-103
ENSG00000123685,BATF3,CD16+ Monocytes,0.30272734559194914,0.345755297670634,0.36272040302267,0.8346024736111376,0.24314469589390883,1.26134673786344e-78,4.632939181639794e-73
ENSG00000163171,CDC42EP3,CD16+ Monocytes,0.22042343797619282,1.0320947505942406,0.6775818639798489,0.3253089400615188,0.23751997751644904,8.01446576714161e-77,2.9437212907368803e-71
ENSG00000115956,PLEK,CD16+ Monocytes,0.23153858994485138,3.0962757837857877,0.9168765743073047,0.25252972584644506,0.2558660817245616,1.0432686078969732e-82,3.8319360294916614e-77
ENSG00000034510,TMSB10,CD16+ Monocytes,0.21293956497749067,22.36589559958615,0.9974811083123426,0.21347729115167624,0.3609512075820726,1.115628709547489e-116,4.097715406455022e-111
ENSG00000114738,MAPKAPK3,CD16+ Monocytes,0.21379988143714165,0.8066983912125055,0.6574307304785895,0.32520518364193574,0.23359090091186058,1.4542703788883463e-75,5.341549644360685e-70
ENSG00000163931,TKT,CD16+ Monocytes,0.2193671958721396,2.1393408847668174,0.8413098236775819,0.26074484060251324,0.2512692247783696,3.1210885874926647e-81,1.1463789592746433e-75
ENSG00000087266,SH3BP2,CD16+ Monocytes,0.19574246956749367,0.9056896466503734,0.6700251889168766,0.2921419564597556,0.21548051564967982,9.060411682775068e-70,3.327898271494965e-64
ENSG00000109787,KLF3,CD16+ Monocytes,0.25242978514491243,2.566716124485818,0.906801007556675,0.2783739575070284,0.2866982699650927,1.2520102133580262e-92,4.598646033766164e-87
ENSG00000138744,NAAA,CD16+ Monocytes,0.21583049643220725,0.8514388458759393,0.6574307304785895,0.3282938968719781,0.25800817469718984,2.1397042952127917e-83,7.859155273359536e-78
ENSG00000146066,HIGD2A,CD16+ Monocytes,0.2043004298324416,1.998336802547281,0.889168765743073,0.22976563921665527,0.19716557527468043,6.377657015128213e-64,2.342519799313608e-58
ENSG00000169230,PRELID1,CD16+ Monocytes,0.24808214493047615,2.087729236995204,0.853904282115869,0.2905268776914426,0.30455236837502875,2.164579515184406e-98,7.950522205067475e-93
ENSG00000131446,MGAT1,CD16+ Monocytes,0.2904815853096376,1.9243592652434984,0.871536523929471,0.3332982351674165,0.37474989573942047,3.572833305322379e-121,1.312305245878215e-115
ENSG00000204482,LST1,CD16+ Monocytes,0.5993406664605816,10.209151849459674,0.9924433249370277,0.6039041740732256,0.7983763497874576,2.797545074063263e-263,1.0275411032485106e-257
ENSG00000204472,AIF1,CD16+ Monocytes,0.47339429964269686,8.2891987671244,0.9924433249370277,0.4769988247668798,0.6973359536364409,1.2432497725068316e-228,4.566468846915318e-223
ENSG00000231389,HLA-DPA1,CD16+ Monocytes,0.20771438240808276,4.465444060815158,0.9319899244332494,0.22287191842164555,0.24792868376589483,3.684132848785611e-80,1.3531856794918036e-74
ENSG00000112773,TENT5A,CD16+ Monocytes,0.21421816214191092,0.8141687461865953,0.6171284634760705,0.3471208586544434,0.2299302105108828,2.1622275229748788e-74,7.94188331416196e-69
ENSG00000188820,CALHM6,CD16+ Monocytes,0.22570428560774144,0.670289799513489,0.5415617128463476,0.4167655878431319,0.21159154383868764,1.5842964204543901e-68,5.819136595293179e-63
ENSG00000026297,RNASET2,CD16+ Monocytes,0.2148174385633121,1.941921686316502,0.8639798488664987,0.24863709361409592,0.2335300434882269,1.5210293626227865e-75,5.586756059207121e-70
ENSG00000233429,HOTAIRM1,CD16+ Monocytes,0.3352119866259916,1.3800636891371683,0.7909319899244333,0.423818976721397,0.4165642892085387,7.655140997363703e-135,2.8117409434726854e-129
ENSG00000188186,LAMTOR4,CD16+ Monocytes,0.20563767850193757,1.6051942127162802,0.8413098236775819,0.2444256238481114,0.2163404979854405,4.8114023586189664e-70,1.767232897723105e-64
ENSG00000085514,PILRA,CD16+ Monocytes,0.3017970137906172,0.742582318967086,0.6297229219143576,0.47925365789950014,0.2930132393698885,1.1507563272085648e-94,4.2267394974003306e-89
ENSG00000172354,GNB2,CD16+ Monocytes,0.20529647623191954,1.4211248445359197,0.8060453400503779,0.2546959408252252,0.2311379235626023,8.875934174848978e-75,3.2601394983562046e-69
ENSG00000257923,CUX1,CD16+ Monocytes,0.2851351383803616,1.6230226263281315,0.743073047858942,0.38372423707458836,0.32291228374707553,2.4911080776207052e-104,9.149864880181626e-99
ENSG00000169100,SLC25A6,CD16+ Monocytes,0.19791442060257952,4.417550100206528,0.964735516372796,0.20514889028518035,0.18619422512506764,2.003105192973354e-60,7.35742540484306e-55
ENSG00000130066,SAT1,CD16+ Monocytes,0.24663781246465716,8.63370648650816,0.9848866498740554,0.25042253592958796,0.3222304333889451,4.141912998425287e-104,1.5213287862346064e-98
ENSG00000147119,CHST7,CD16+ Monocytes,0.1979100970568491,0.40046854596749887,0.41309823677581864,0.479087247143714,0.2103622526532002,3.9131755918079434e-68,1.4373133080466494e-62
ENSG00000102265,TIMP1,CD16+ Monocytes,0.22156802733987133,3.478043156097141,0.8942065491183879,0.24778170944768707,0.25277213165840823,1.0276835416052126e-81,3.774691925151362e-76
ENSG00000126759,CFP,CD16+ Monocytes,0.24438692735024567,0.9588270140558738,0.6675062972292192,0.3661192836152737,0.2794882166780533,2.6360191206775787e-90,9.682124590439953e-85
ENSG00000183779,ZNF703,CD16+ Monocytes,0.23577797109563636,0.44626994981095136,0.3954659949622166,0.5962028950634881,0.20549280868938752,1.4044553340679735e-66,5.158578486585007e-61
ENSG00000197353,LYPD2,CD16+ Monocytes,0.2057759446895659,1.3223766740031933,0.26700251889168763,0.7706891513373365,0.14884676559856627,1.4951756340163837e-48,5.491795055498517e-43
ENSG00000178719,GRINA,CD16+ Monocytes,0.2429443639431063,1.5315823362357455,0.8060453400503779,0.30140285151691626,0.27992495646863097,1.9066644429002484e-90,7.003197565417041e-85
ENSG00000147872,PLIN2,CD16+ Monocytes,0.22203481267665245,0.9748038639794497,0.6473551637279596,0.3429876289207433,0.23120710447096735,8.434550597648479e-75,3.0980188690668837e-69
ENSG00000107372,ZFAND5,CD16+ Monocytes,0.2376821762755905,1.399220716840583,0.7808564231738035,0.30438652897228846,0.2343841887717864,8.101111915587261e-76,2.975546507707117e-70
ENSG00000131669,NINJ1,CD16+ Monocytes,0.21130168579046163,2.269154135250072,0.8513853904282116,0.24818570786631144,0.20057054213378925,5.229608954614247e-65,1.9208405986387675e-59
ENSG00000085265,FCN1,CD16+ Monocytes,0.21133028844986707,2.9799223783340714,0.8110831234256927,0.26055318172235165,0.2593972138564144,7.657675602134303e-84,2.8126719063395315e-78
ENSG00000185201,IFITM2,CD16+ Monocytes,0.34624037549231595,7.443855128631902,0.9798488664987406,0.35336100018110395,0.5155255231605067,1.7059791110697692e-167,6.266078334750373e-162
